,Address,Baths,Beds,Price,Size
0,RedDesertRockSpringsWY82901,no baths,none,"$20,000",not available
1,520wasatchRockSpringsWY82901,no baths,3,"$120,000",not available
2,375HStreetRockSpringsWY82901,1,2,"$99,900","1,324"
3,516DewarDriveRockSpringsWY82901,1,2,"$118,500","1,680"
4,2916Plumtree1ARockSpringsWY82901,2,3,"$99,900",not available
5,1020McKinleyMarchantRockSpringsWY82901,1,4,"$179,900","1,500"
6,1353WalnutSt.RockSpringsWY82901,1,4,"$130,000","2,112"
7,2024ReaganAvenueRockSpringsWY82901,1,3,"$90,250","1,380"
8,1411LowellAveRockSpringsWY82901,2,3,"$134,000","1,944"
9,394GannettRockSpringsWY82901,2,4,"$320,000","1,344"
10,845RidgeAve839and843RidgeRockSpringsWY82901,4,5,"$169,900","1,584"
11,1700SwansonDr#102BRockSpringsWY82901,2,3,"$24,000","1,120"
